question_id,topic,query_type,question,baseline_score,optimized_score,winner,reasoning
Q01,moving_checklist,informational,What should I do the week before moving into a new apartment?,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q02,moving_checklist,informational,What documents do I need to bring when moving into a new apartment?,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q03,moving_checklist,informational,How early should I set up utilities before moving in?,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q04,moving_checklist,informational,What's a good move-in checklist for a first apartment?,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q05,moving_checklist,informational,What should I photograph before moving into a new apartment?,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q06,moving_checklist,informational,How do I do a move-in inspection walkthrough?,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q07,moving_checklist,informational,When should I book movers before an apartment move?,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q08,moving_checklist,transactional,Best moving checklist app or service for apartment moves,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q09,moving_checklist,transactional,Who can help me plan an apartment move-in checklist,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q10,moving_checklist,transactional,Moving company vs DIY move for a studio apartment,0.0,87.5,optimized,"offline heuristic proxy - not question-aware, structural only"
Q11,renters_insurance,informational,Do I need renters insurance for a first apartment?,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q12,renters_insurance,informational,What does renters insurance typically cover?,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q13,renters_insurance,informational,How much does renters insurance cost per month on average?,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q14,renters_insurance,informational,Does renters insurance cover theft?,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q15,renters_insurance,informational,What's the difference between renters insurance and a landlord's insurance?,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q16,renters_insurance,informational,Is renters insurance required by law?,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q17,renters_insurance,informational,Does renters insurance cover a roommate's belongings?,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q18,renters_insurance,transactional,Cheapest renters insurance for first-time renters,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q19,renters_insurance,transactional,Where to buy renters insurance online,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q20,renters_insurance,transactional,Best renters insurance providers 2026,0.0,91.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q21,international_relocation,informational,What documents do I need for an international relocation?,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q22,international_relocation,informational,How do I ship my belongings when moving to another country?,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q23,international_relocation,informational,What's a good checklist for moving abroad?,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q24,international_relocation,informational,How far in advance should I plan an international move?,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q25,international_relocation,informational,How do I find housing in a new country before I arrive?,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q26,international_relocation,informational,How long does ocean freight shipping take for an international move?,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q27,international_relocation,informational,What should I do with my bank accounts before moving abroad?,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q28,international_relocation,transactional,Best international moving companies,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q29,international_relocation,transactional,International relocation services for professionals,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
Q30,international_relocation,transactional,Compare international shipping container costs for movers,0.0,88.6,optimized,"offline heuristic proxy - not question-aware, structural only"
