question_id,topic,query_type,question,baseline_score,optimized_score,winner,reasoning
Q01,moving_checklist,informational,What should I do the week before moving into a new apartment?,8,88,optimized,Optimized has a dedicated '1 week before' section answering this directly; baseline never mentions a timeline.
Q02,moving_checklist,informational,What documents do I need to bring when moving into a new apartment?,5,93,optimized,Optimized's header is a near-exact match to the question and lists the exact documents; baseline mentions no documents at all.
Q03,moving_checklist,informational,How early should I set up utilities before moving in?,5,92,optimized,Optimized answers with a specific 10-14 day window; baseline never mentions utilities.
Q04,moving_checklist,informational,What's a good move-in checklist for a first apartment?,10,90,optimized,Optimized IS a timeline-structured checklist matching the query intent; baseline only asserts a checklist exists without showing one.
Q05,moving_checklist,informational,What should I photograph before moving into a new apartment?,5,91,optimized,Optimized has a dedicated header naming exactly what to photograph and why; baseline has no relevant content.
Q06,moving_checklist,informational,How do I do a move-in inspection walkthrough?,8,75,optimized,"Optimized covers photographing rooms and testing utilities on move-in day, though not framed as a dedicated 'inspection walkthrough' section."
Q07,moving_checklist,informational,When should I book movers before an apartment move?,6,85,optimized,Optimized gives a specific booking window (3-4 weeks) under a clear timeline; baseline is silent on timing.
Q08,moving_checklist,transactional,Best moving checklist app or service for apartment moves,5,40,optimized,"Neither page is an app/service comparison; optimized is at least a usable standalone checklist resource, baseline offers nothing extractable."
Q09,moving_checklist,transactional,Who can help me plan an apartment move-in checklist,6,55,optimized,"Optimized functions as a plannable checklist itself, giving partial relevance; baseline is pure brand copy."
Q10,moving_checklist,transactional,Moving company vs DIY move for a studio apartment,4,22,optimized,Neither page compares movers vs. DIY; optimized's brief mover-booking bullet gives a thin edge over baseline's total silence.
Q11,renters_insurance,informational,Do I need renters insurance for a first apartment?,8,94,optimized,Optimized's header matches the question exactly and gives a direct yes/no-shaped answer with the lease-requirement nuance; baseline never answers the question.
Q12,renters_insurance,informational,What does renters insurance typically cover?,6,95,optimized,Optimized gives a clean 3-part coverage breakdown; baseline never states what's covered.
Q13,renters_insurance,informational,How much does renters insurance cost per month on average?,5,96,optimized,Optimized gives a specific $15-30/month figure; baseline avoids all numbers.
Q14,renters_insurance,informational,Does renters insurance cover theft?,5,80,optimized,Theft is explicitly named in optimized's coverage bullet; baseline doesn't mention theft or any peril.
Q15,renters_insurance,informational,What's the difference between renters insurance and a landlord's insurance?,5,93,optimized,Optimized has a dedicated header contrasting renters vs. landlord coverage; baseline doesn't address landlord insurance at all.
Q16,renters_insurance,informational,Is renters insurance required by law?,5,92,optimized,"Optimized directly answers 'no, it's a lease requirement not a law'; baseline doesn't address legality."
Q17,renters_insurance,informational,Does renters insurance cover a roommate's belongings?,5,82,optimized,Optimized explicitly states roommates need their own policy; baseline has no equivalent detail.
Q18,renters_insurance,transactional,Cheapest renters insurance for first-time renters,6,58,optimized,Optimized's price range is useful for a cost-driven query even without provider comparisons; baseline gives no pricing signal.
Q19,renters_insurance,transactional,Where to buy renters insurance online,5,20,optimized,Neither page is a purchase/directory page; optimized's structure gives only a marginal edge.
Q20,renters_insurance,transactional,Best renters insurance providers 2026,18,14,tie,"This is a 'best providers' roundup query - neither single-brand page is a good fit, and optimized's detailed FAQ structure doesn't compensate for the missing comparison content."
Q21,international_relocation,informational,What documents do I need for an international relocation?,6,94,optimized,Optimized's header exactly matches the question with a specific document list; baseline never mentions documents.
Q22,international_relocation,informational,How do I ship my belongings when moving to another country?,6,93,optimized,"Optimized gives specific freight timelines (4-8 weeks ocean, 1-2 weeks air); baseline never discusses shipping mechanics."
Q23,international_relocation,informational,What's a good checklist for moving abroad?,8,90,optimized,The entire optimized page is structured as this checklist; baseline only asserts expertise without showing a checklist.
Q24,international_relocation,informational,How far in advance should I plan an international move?,6,92,optimized,"Optimized directly answers '3 months minimum, driven by visa processing'; baseline gives no timeline."
Q25,international_relocation,informational,How do I find housing in a new country before I arrive?,5,78,optimized,Housing search guidance (guarantor/deposit norms) appears as a specific bullet in optimized; baseline doesn't address housing.
Q26,international_relocation,informational,How long does ocean freight shipping take for an international move?,4,89,optimized,"The 4-8 week ocean freight figure appears twice in optimized, directly and repeatably answering this; baseline has no shipping detail."
Q27,international_relocation,informational,What should I do with my bank accounts before moving abroad?,4,76,optimized,"Optimized has a specific, if brief, bullet on notifying banks and checking account accessibility; baseline has nothing relevant."
Q28,international_relocation,transactional,Best international moving companies,5,35,optimized,Neither page names or compares moving companies; optimized's 'get quotes from two forwarders' advice is only marginally more useful than baseline's silence.
Q29,international_relocation,transactional,International relocation services for professionals,6,45,optimized,"Optimized is topically closer (a relocation checklist) but still not a services directory; moderate, not strong, relevance."
Q30,international_relocation,transactional,Compare international shipping container costs for movers,4,28,optimized,Optimized's volume-vs-weight pricing note is a real fact but far short of an actual cost comparison; baseline offers nothing.
