question_id,topic,query_type,question,baseline_score,optimized_score,winner,reasoning
Q01,moving_checklist,informational,What should I do the week before moving into a new apartment?,20,85,optimized,"Page A offers a detailed, organized, fact‑based checklist directly answering the week‑before move question, while Page B is vague promotional copy."
Q02,moving_checklist,informational,What documents do I need to bring when moving into a new apartment?,12,88,optimized,"Page B directly lists the needed documents in a clear, extractable format, while Page A contains only generic marketing text."
Q03,moving_checklist,informational,How early should I set up utilities before moving in?,5,92,optimized,"Page B directly answers the utility timing question with specific numbers, while Page A lacks any relevant information."
Q04,moving_checklist,informational,What's a good move-in checklist for a first apartment?,10,90,optimized,"Page B directly provides a detailed, organized move‑in checklist with specific steps and numbers, while Page A is vague marketing copy."
Q05,moving_checklist,informational,What should I photograph before moving into a new apartment?,5,90,optimized,"Page A directly and clearly lists exactly what to photograph, while Page B contains no relevant information."
Q06,moving_checklist,informational,How do I do a move-in inspection walkthrough?,10,80,optimized,"Page A provides concrete, step‑by‑step instructions for a move‑in walkthrough, while Page B is only promotional content."
Q07,moving_checklist,informational,When should I book movers before an apartment move?,10,85,optimized,"Page A directly gives a clear, specific timeline for booking movers, while Page B offers only vague marketing text."
Q08,moving_checklist,transactional,Best moving checklist app or service for apartment moves,30,70,optimized,"Page A provides a detailed, easily extractable moving checklist, while Page B is vague promotional copy without concrete checklist details"
Q09,moving_checklist,transactional,Who can help me plan an apartment move-in checklist,80,30,baseline,"Page A directly offers a service that helps plan a move-in checklist, while Page B only provides the checklist itself without identifying a helper"
Q10,moving_checklist,transactional,Moving company vs DIY move for a studio apartment,10,30,optimized,"Page A mentions hiring movers and provides concrete steps, making it more relevant than the vague marketing copy of Page B"
Q11,renters_insurance,informational,Do I need renters insurance for a first apartment?,20,90,optimized,"Page B directly answers the question with clear, specific facts and numbers, while Page A is vague marketing copy."
Q12,renters_insurance,informational,What does renters insurance typically cover?,10,90,optimized,"Page A directly lists typical coverage with clear, specific details, while Page B is vague marketing copy without the needed answer."
Q13,renters_insurance,informational,How much does renters insurance cost per month on average?,10,90,optimized,"Page A gives a clear, specific cost range directly answering the question, while Page B lacks any numeric data."
Q14,renters_insurance,informational,Does renters insurance cover theft?,20,85,optimized,"Page A directly states that renters insurance covers theft with clear, specific details, while Page B offers only vague marketing copy without answering the question."
Q15,renters_insurance,informational,What's the difference between renters insurance and a landlord's insurance?,10,85,optimized,"Page B directly answers the difference with clear, specific details, while Page A only offers vague marketing copy."
Q16,renters_insurance,informational,Is renters insurance required by law?,10,85,optimized,"Page B directly answers the legal requirement question with clear facts and numbers, while Page A is vague marketing copy."
Q17,renters_insurance,informational,Does renters insurance cover a roommate's belongings?,10,90,optimized,"Page A directly states that renters insurance does not cover a roommate's belongings, offering a clear, specific answer, while Page B contains only vague marketing text without addressing the question."
Q18,renters_insurance,transactional,Cheapest renters insurance for first-time renters,20,85,optimized,"Page A directly provides specific cost ranges and relevant details for first-time renters, while Page B is vague marketing copy."
Q19,renters_insurance,transactional,Where to buy renters insurance online,55,20,baseline,"Page B points to an online service for obtaining renters insurance, directly addressing the query, whereas Page A only provides general coverage info without buying guidance."
Q20,renters_insurance,transactional,Best renters insurance providers 2026,20,45,optimized,"Page B provides concrete, extractable facts and organized coverage details, making it more useful despite lacking provider names"
Q21,international_relocation,informational,What documents do I need for an international relocation?,10,85,optimized,"Page B directly lists the needed documents in a clear, extractable section, while Page A is vague marketing copy."
Q22,international_relocation,informational,How do I ship my belongings when moving to another country?,10,85,optimized,"Page B directly answers the shipping question with clear, specific steps and numbers, while Page A is vague marketing copy."
Q23,international_relocation,informational,What's a good checklist for moving abroad?,10,85,optimized,"Page B offers a detailed, organized checklist with specific timelines and facts, while Page A is vague marketing copy"
Q24,international_relocation,informational,How far in advance should I plan an international move?,10,85,optimized,"Page B directly answers the question with specific timelines and numbers, while Page A is vague marketing copy."
Q25,international_relocation,informational,How do I find housing in a new country before I arrive?,20,80,optimized,"Page B offers concrete, timely steps and specific advice on securing housing before arrival, while Page A is vague marketing copy."
Q26,international_relocation,informational,How long does ocean freight shipping take for an international move?,5,92,optimized,"Page B directly provides the specific 4‑8 week timeframe for ocean freight, while Page A contains no relevant information."
Q27,international_relocation,informational,What should I do with my bank accounts before moving abroad?,15,85,optimized,"Page A gives concrete, directly relevant steps about bank accounts, while Page B is vague marketing copy."
Q28,international_relocation,transactional,Best international moving companies,30,20,baseline,Page A is a moving service and thus marginally more relevant than the generic checklist on Page B
Q29,international_relocation,transactional,International relocation services for professionals,45,78,optimized,"Page A offers concrete, extractable steps and timelines for international relocation, while Page B is vague marketing copy."
Q30,international_relocation,transactional,Compare international shipping container costs for movers,10,65,optimized,"Page B directly discusses shipping methods and cost factors for international moves, while Page A contains only generic marketing text without cost details"
