question_id,topic,query_type,question
Q01,moving_checklist,informational,What should I do the week before moving into a new apartment?
Q02,moving_checklist,informational,What documents do I need to bring when moving into a new apartment?
Q03,moving_checklist,informational,How early should I set up utilities before moving in?
Q04,moving_checklist,informational,What's a good move-in checklist for a first apartment?
Q05,moving_checklist,informational,What should I photograph before moving into a new apartment?
Q06,moving_checklist,informational,How do I do a move-in inspection walkthrough?
Q07,moving_checklist,informational,When should I book movers before an apartment move?
Q08,moving_checklist,transactional,Best moving checklist app or service for apartment moves
Q09,moving_checklist,transactional,Who can help me plan an apartment move-in checklist
Q10,moving_checklist,transactional,Moving company vs DIY move for a studio apartment
Q11,renters_insurance,informational,Do I need renters insurance for a first apartment?
Q12,renters_insurance,informational,What does renters insurance typically cover?
Q13,renters_insurance,informational,How much does renters insurance cost per month on average?
Q14,renters_insurance,informational,Does renters insurance cover theft?
Q15,renters_insurance,informational,What's the difference between renters insurance and a landlord's insurance?
Q16,renters_insurance,informational,Is renters insurance required by law?
Q17,renters_insurance,informational,Does renters insurance cover a roommate's belongings?
Q18,renters_insurance,transactional,Cheapest renters insurance for first-time renters
Q19,renters_insurance,transactional,Where to buy renters insurance online
Q20,renters_insurance,transactional,Best renters insurance providers 2026
Q21,international_relocation,informational,What documents do I need for an international relocation?
Q22,international_relocation,informational,How do I ship my belongings when moving to another country?
Q23,international_relocation,informational,What's a good checklist for moving abroad?
Q24,international_relocation,informational,How far in advance should I plan an international move?
Q25,international_relocation,informational,How do I find housing in a new country before I arrive?
Q26,international_relocation,informational,How long does ocean freight shipping take for an international move?
Q27,international_relocation,informational,What should I do with my bank accounts before moving abroad?
Q28,international_relocation,transactional,Best international moving companies
Q29,international_relocation,transactional,International relocation services for professionals
Q30,international_relocation,transactional,Compare international shipping container costs for movers
